event,iso,notional,pnl,price,qty,ts
DCA,2026-03-13T01:48:00Z,114.19939339318563,,38.132,2.994844052060884,1773366480000
DCA,2026-03-13T02:14:00Z,170.88580161059403,,38.04,4.492266078091326,1773368040000
FULL_CLOSE_TRAIL,2026-03-13T03:20:00Z,,2.6728983164643445,38.387,10.481954182213094,1773372000000
FIRST,2026-03-13T03:22:00Z,114.97618011083885,,38.404,2.9938594966888563,1773372120000
DCA,2026-03-13T03:30:00Z,114.56003364079909,,38.265,2.9938594966888563,1773372600000
DCA,2026-03-13T03:40:00Z,171.215830756139,,38.126,4.490789245033285,1773373200000
DCA,2026-03-13T04:14:00Z,312.47959417765435,,37.954,8.233113615894355,1773375240000
FULL_CLOSE_TRAIL,2026-03-14T13:32:00Z,,3.7789991496955517,38.319,18.711621854305353,1773495120000
FIRST,2026-03-14T13:34:00Z,115.46640059266849,,38.281,3.0162848565259135,1773495240000
DCA,2026-03-14T13:36:00Z,115.15572325244632,,38.178,3.0162848565259135,1773495360000
DCA,2026-03-14T13:40:00Z,171.91918796740748,,37.998,4.52442728478887,1773495600000
DCA,2026-03-14T14:18:00Z,313.7916543365321,,37.83,8.294783355446262,1773497880000
FULL_CLOSE_TRAIL,2026-03-14T16:16:00Z,,4.408300317812646,38.232,18.85178035328696,1773504960000
FIRST,2026-03-14T16:18:00Z,116.05676270490925,,38.633,3.0040836255250496,1773505080000
DCA,2026-03-14T16:26:00Z,115.41689289267241,,38.42,3.0040836255250496,1773505560000
DCA,2026-03-14T16:30:00Z,172.9090453179708,,38.372,4.506125438287574,1773505800000
DCA,2026-03-14T17:22:00Z,315.38071534212185,,38.176,8.261229970193886,1773508920000
FULL_CLOSE_TRAIL,2026-03-16T07:06:00Z,,6.154616327794354,38.663,18.77552265953156,1773644760000
FIRST,2026-03-16T07:08:00Z,116.9258468014489,,38.687,3.0223549719918554,1773644880000
FULL_CLOSE_TRAIL,2026-03-16T07:20:00Z,,0.6800298686981717,38.912,3.0223549719918554,1773645600000
FIRST,2026-03-16T07:22:00Z,117.01588904256289,,38.949,3.0043361586321318,1773645720000
FULL_CLOSE_TRAIL,2026-03-16T07:26:00Z,,0.6699669633749623,39.172,3.0043361586321318,1773645960000
FIRST,2026-03-16T07:28:00Z,117.10430761709898,,39.185,2.988498344190353,1773646080000
DCA,2026-03-16T07:36:00Z,116.67097535719138,,39.04,2.988498344190353,1773646560000
DCA,2026-03-16T07:44:00Z,174.54025729409338,,38.936,4.48274751628553,1773647040000
DCA,2026-03-16T07:54:00Z,318.16599346670966,,38.714,8.21837044652347,1773647640000
FULL_CLOSE_TRAIL,2026-03-16T08:10:00Z,,5.7565949354967305,39.203,18.67811465118971,1773648600000
FIRST,2026-03-16T08:12:00Z,117.90866523378605,,39.089,3.0164154937139873,1773648720000
DCA,2026-03-16T08:16:00Z,117.05200323357127,,38.805,3.0164154937139873,1773648960000
DCA,2026-03-16T08:16:00Z,175.5780048503569,,38.805,4.524623240570981,1773648960000
FULL_CLOSE_TRAIL,2026-03-16T09:06:00Z,,4.31649057150474,39.295,10.557454227998956,1773651960000
FIRST,2026-03-16T09:08:00Z,118.53327221825026,,39.173,3.0258921251436,1773652080000
FULL_CLOSE_TRAIL,2026-03-16T09:16:00Z,,0.6505668069058629,39.388,3.0258921251436,1773652560000
